,lat,lon,Location Name,Title,Misinfo_Or_Books
375,40.740934,-74.3837624,Chatham,aRepublicUnderAssault,books
376,32.3182314,-86.902298,Alabama,aRepublicUnderAssault,books
377,38.9580365,-77.3608452,Barcelona Wine Bar,aRepublicUnderAssault,books
378,40.740934,-74.3837624,Chatham,aRepublicUnderAssault,books
379,42.1103041,-88.03424000000001,Palatine,aRepublicUnderAssault,books
380,,,,battleOfBrothers,books
381,51.0316593,2.8639376,Diksmuide,battleOfBrothers,books
382,42.9336427,-72.2814372,60 Winter St,battleOfBrothers,books
383,40.6781784,-73.9441579,Brooklyn,battleOfBrothers,books
384,40.7127753,-74.0059728,New York,battleOfBrothers,books
385,40.7127753,-74.0059728,New York,battleOfBrothers,books
386,34.0522342,-118.2436849,Los Angeles,battleOfBrothers,books
387,25.7616798,-80.1917902,Miami,battleOfBrothers,books
388,34.0522342,-118.2436849,Los Angeles,battleOfBrothers,books
389,-33.8688197,151.2092955,Sydney,battleOfBrothers,books
390,33.3489368,-96.5500467,Lihoudies Authentic Greek Cuisine & Bakery,battleOfBrothers,books
391,53.23263439999999,-2.6103158,Cheshire,battleOfBrothers,books
392,42.9336427,-72.2814372,60 Winter St,battleOfBrothers,books
393,40.6984256,-73.9754896,Puerto Rico USA Import Inc,battleOfBrothers,books
394,36.1886171,-94.1383859,Springdale,battleOfBrothers,books
395,40.6781784,-73.9441579,Brooklyn,battleOfBrothers,books
396,37.09024,-95.712891,United States,battleOfBrothers,books
397,51.5072178,-0.1275862,London,battleOfBrothers,books
398,51.454513,-2.58791,Bristol,battleOfBrothers,books
399,41.4141172,-73.3035651,Newtown,battleOfBrothers,books
400,40.6984256,-73.9754896,Puerto Rico USA Import Inc,battleOfBrothers,books
401,25.7616798,-80.1917902,Miami,battleOfBrothers,books
402,-33.8688197,151.2092955,Sydney,battleOfBrothers,books
403,51.0316593,2.8639376,Diksmuide,battleOfBrothers,books
404,40.354271,-78.4308209,The Milky Way,battleOfBrothers,books
405,40.354271,-78.4308209,The Milky Way,battleOfBrothers,books
406,41.4141172,-73.3035651,Newtown,battleOfBrothers,books
407,38.9448013,-82.11125500000001,Cheshire,battleOfBrothers,books
408,33.3489368,-96.5500467,Lihoudies Authentic Greek Cuisine & Bakery,battleOfBrothers,books
409,37.09024,-95.712891,United States,battleOfBrothers,books
410,51.5072178,-0.1275862,London,battleOfBrothers,books
411,36.1886171,-94.1383859,Springdale,battleOfBrothers,books
412,51.454513,-2.58791,Bristol,battleOfBrothers,books
413,56.130366,-106.346771,Canada,doYouFeelLikeIDo,books
414,23.634501,-102.552784,Mexico,doYouFeelLikeIDo,books
415,38.4075666,-85.37884679999999,La Grange,doYouFeelLikeIDo,books
416,44.977753,-93.2650108,Minneapolis,doYouFeelLikeIDo,books
417,47.6062095,-122.3320708,Seattle,doYouFeelLikeIDo,books
418,56.130366,-106.346771,Canada,doYouFeelLikeIDo,books
419,44.977753,-93.2650108,Minneapolis,doYouFeelLikeIDo,books
420,39.7392358,-104.990251,Denver,doYouFeelLikeIDo,books
421,43.1938516,-71.5723953,New Hampshire,doYouFeelLikeIDo,books
422,41.1609285,-74.90933679999999,Delaware,doYouFeelLikeIDo,books
423,,,,doYouFeelLikeIDo,books
424,39.613321,-105.0166498,Littleton,doYouFeelLikeIDo,books
425,42.2625932,-71.8022934,Worcester,doYouFeelLikeIDo,books
426,40.2671941,-86.1349019,Indiana,doYouFeelLikeIDo,books
427,39.0884368,-77.5247335,Metropolitan at Village at Leesburg,doYouFeelLikeIDo,books
