,lat,lon,Location Name,Misinfo_Or_Books,Title
340,31.9685988,-99.9018131,Texas,misinfo,civilWar
341,38.4220687,-77.4083086,Stafford,misinfo,civilWar
342,39.011902,-98.4842465,Kansas,misinfo,civilWar
343,,,,misinfo,civilWar
344,47.9252568,-97.0328547,Grand Forks,misinfo,civilWar
345,37.09024,-95.712891,United States,misinfo,civilWar
346,19.8967662,-155.5827818,Hawaii,misinfo,civilWar
347,34.0259216,-118.7797571,Malibu,misinfo,civilWar
348,39.0473451,-95.6751576,Topeka,misinfo,civilWar
349,37.09024,-95.712891,United States,misinfo,civilWar
350,40.44062479999999,-79.9958864,Pittsburgh,misinfo,civilWar
351,32.2318851,-110.9501094,The University of Arizona,misinfo,civilWar
352,12.879721,121.774017,Philippines,misinfo,civilWar
353,38.8014375,-77.0395908,Ada's on the River ®,misinfo,civilWar
354,42.0333607,-88.0834059,Schaumburg,misinfo,civilWar
355,38.9784492,-76.4945122,EVERYWHERE Communications,misinfo,civilWar
356,44.3148443,-85.60236429999999,Michigan,misinfo,civilWar
357,40.6981834,-73.9724343,Final Frontier Design,misinfo,civilWar
358,51.42314229999999,5.462289699999999,Eindhoven,misinfo,civilWar
359,,,,misinfo,civilWar
360,22.3038945,70.80215989999999,Rajkot,misinfo,civilWar
361,,,,misinfo,civilWar
362,38.99066570000001,-77.026088,Silver Spring,misinfo,civilWar
363,,,,misinfo,civilWar
364,32.4576239,-99.8714811,Tye,misinfo,civilWar
365,40.4172871,-82.90712300000001,Ohio,misinfo,civilWar
366,31.9539494,35.910635,Amman,misinfo,civilWar
367,47.5595986,7.5885761,Basel,misinfo,civilWar
368,37.4315734,-78.6568942,Virginia,misinfo,civilWar
369,38.886873,-77.0228013,Orville Wright Federal Building – FOB 10A,misinfo,civilWar
370,54.5259614,15.2551187,Europe,misinfo,civilWar
371,38.9041519,-77.0341755,Friends of the Earth Action,misinfo,civilWar
372,38.9140001,-77.18553589999999,Devon Park,misinfo,civilWar
373,38.9559442,-76.9455301,Hyattsville,misinfo,civilWar
374,50.1109221,8.6821267,Frankfurt,misinfo,civilWar
375,60.12816100000001,18.643501,Sweden,misinfo,civilWar
376,34.0007104,-81.0348144,Columbia,misinfo,civilWar
377,34.1395597,-118.3870991,Studio City,misinfo,civilWar
378,39.06111689999999,-77.4740857,Planet Fitness,misinfo,civilWar
379,39.366584,22.9506769,Volos,misinfo,civilWar
380,37.09024,-95.712891,United States,misinfo,civilWar
381,41.394817,-73.4540111,Danbury,misinfo,civilWar
382,55.378051,-3.435973,United Kingdom,misinfo,civilWar
383,,,,misinfo,civilWar
384,34.0522342,-118.2436849,Los Angeles,misinfo,civilWar
385,,,,misinfo,civilWar
386,39.0585794,-77.4518215,Alpha Centauri Group,misinfo,civilWar
387,28.5383832,-81.3789269,Orlando,misinfo,civilWar
388,,,,misinfo,civilWar
389,44.36678759999999,-100.3537522,Pierre,misinfo,civilWar
390,37.7749295,-122.4194155,San Francisco,misinfo,civilWar
391,41.8780025,-93.097702,Iowa,misinfo,civilWar
392,39.3209801,-111.0937311,Utah,misinfo,civilWar
393,39.7596061,-121.6219177,Paradise,misinfo,civilWar
394,48.11703869999999,-122.7604471,Port Townsend,misinfo,civilWar
395,40.7830603,-73.9712488,Manhattan,misinfo,civilWar
396,14.0323336,38.3165725,Tigray,misinfo,civilWar
397,39.0039696,-77.4323924,Worldwide Goods,misinfo,civilWar
398,27.336465,-82.5310117,Sarasota,misinfo,civilWar
399,39.9625984,-76.727745,York,misinfo,civilWar
400,41.8239891,-71.4128343,Providence,misinfo,civilWar
401,,,,misinfo,civilWar
402,36.5951059,-82.18874439999999,Bristol,misinfo,civilWar
403,39.2747949,-77.6385513,Lovettsville,misinfo,civilWar
404,34.0522342,-118.2436849,Los Angeles,misinfo,civilWar
405,27.6648274,-81.5157535,Florida,misinfo,civilWar
406,,,,misinfo,civilWar
407,38.253749,-78.458708,Planet Earth Diversified,misinfo,civilWar
408,,,,misinfo,civilWar
409,59.9138688,10.7522454,Oslo,misinfo,civilWar
410,,,,misinfo,civilWar
411,52.9540223,-1.1549892,Nottingham,misinfo,civilWar
412,,,,misinfo,civilWar
413,46.78667189999999,-92.1004852,Duluth,misinfo,civilWar
414,33.4255104,-111.9400054,Tempe,misinfo,civilWar
415,39.032372,-77.42393849999999,Hot Topic,misinfo,civilWar
416,37.8271784,-122.2913078,San Francisco Bay Area,misinfo,civilWar
417,31.9685988,-99.9018131,Texas,misinfo,civilWar
418,35.5174913,-86.5804473,Tennessee,misinfo,civilWar
419,35.9940329,-78.898619,Durham,misinfo,civilWar
420,41.03398620000001,-73.7629097,White Plains,misinfo,civilWar
421,-34.6036844,-58.3815591,Buenos Aires,misinfo,civilWar
422,30.0444196,31.2357116,Cairo,misinfo,civilWar
423,35.6761919,139.6503106,Tokyo,misinfo,civilWar
424,42.4992102,-83.3678533,Beringea LLC,misinfo,civilWar
425,48.856614,2.3522219,Paris,misinfo,civilWar
426,34.5199402,-105.8700901,New Mexico,misinfo,civilWar
427,37.09024,-95.712891,United States,misinfo,civilWar
428,39.0524836,-76.9568161,LivingWell ABC,misinfo,civilWar
429,37.09024,-95.712891,United States,misinfo,civilWar
430,9.0764785,7.398574,Abuja,misinfo,civilWar
431,41.6032207,-73.087749,Connecticut,misinfo,civilWar
432,39.75709519999999,-76.6779176,Alexander's Jewelry,misinfo,civilWar
433,60.47202399999999,8.468945999999999,Norway,misinfo,civilWar
434,35.0077519,-97.092877,Oklahoma,misinfo,civilWar
435,39.9253674,-75.1507055,Gooey Looies,misinfo,civilWar
436,41.902916,12.453389,Vatican City,misinfo,civilWar
437,35.7595731,-79.01929969999999,North Carolina,misinfo,civilWar
438,37.7749295,-122.4194155,San Francisco,misinfo,civilWar
439,-20.348404,57.55215200000001,Mauritius,misinfo,civilWar
440,38.7742826,-76.0763305,Easton,misinfo,civilWar
441,39.0319569,-77.42339989999999,Bath & Body Works,misinfo,civilWar
442,,,,misinfo,civilWar
443,55.378051,-3.435973,United Kingdom,misinfo,civilWar
444,40.7127753,-74.0059728,New York,misinfo,civilWar
445,38.8338816,-104.8213634,Colorado Springs,misinfo,civilWar
446,39.0622611,-77.47126209999999,Filling Co. Gas & Grub,misinfo,civilWar
447,,,,misinfo,civilWar
448,37.4315734,-78.6568942,Virginia,misinfo,civilWar
449,40.7127753,-74.0059728,New York,misinfo,civilWar
450,-1.2920659,36.8219462,Nairobi,misinfo,civilWar
451,55.953252,-3.188267,Edinburgh,misinfo,civilWar
452,35.5174913,-86.5804473,Tennessee,misinfo,civilWar
453,6.522704399999999,3.6217802,Lagos,misinfo,civilWar
454,38.9982458,-77.42717119999999,U.S. Customs and Border Protection,misinfo,civilWar
455,,,,misinfo,civilWar
456,49.2827291,-123.1207375,Vancouver,misinfo,civilWar
457,37.2707022,-76.7074571,Williamsburg,misinfo,civilWar
458,42.2830786,-87.9531303,Libertyville,misinfo,civilWar
459,38.6270025,-90.1994042,St. Louis,misinfo,civilWar
460,37.09024,-95.712891,United States,misinfo,civilWar
461,34.7303688,-86.5861037,Huntsville,misinfo,civilWar
462,52.3555177,-1.1743197,England,misinfo,civilWar
463,41.8850317,-87.7845025,Oak Park,misinfo,civilWar
464,,,,misinfo,civilWar
465,26.3351,17.228331,Libya,misinfo,civilWar
466,53.567471,-0.080784,Grimsby,misinfo,civilWar
467,39.29101,-76.8217083,HeartLands Senior Living Village at Ellicott City,misinfo,civilWar
468,40.834435,-73.93859979999999,65 Jumel Terrace,misinfo,civilWar
469,37.3662293,-81.1025918,Princeton,misinfo,civilWar
470,40.4172871,-82.90712300000001,Ohio,misinfo,civilWar
471,28.0186323,-82.1128641,Plant City,misinfo,civilWar
472,38.9899367,-77.01935329999999,Addis Beer & Wine,misinfo,civilWar
473,38.9580365,-77.3608452,Barcelona Wine Bar,misinfo,civilWar
474,37.09024,-95.712891,United States,misinfo,civilWar
475,46.227638,2.213749,France,misinfo,civilWar
476,46.8771863,-96.7898034,Fargo,misinfo,civilWar
477,34.0522342,-118.2436849,Los Angeles,misinfo,civilWar
